Cluster,Price,Url
prato centenaro_001,158000,https://www.immobiliare.it/annunci/81803408/
prato centenaro_010,270000,https://www.immobiliare.it/annunci/84356702/
ca' granda_000,200000,https://www.immobiliare.it/annunci/84734484/
ca' granda_010,149000,https://www.immobiliare.it/annunci/78851279/
ca' granda_100,85000,https://www.immobiliare.it/annunci/84657624/
ca' granda_101,110000,https://www.immobiliare.it/annunci/82529526/
istria_000,139000,https://www.immobiliare.it/annunci/80288499/
istria_000,139000,https://www.immobiliare.it/annunci/83315013/
istria_001,270000,https://www.immobiliare.it/annunci/83376851/
istria_001,270000,https://www.immobiliare.it/annunci/83160791/
bruzzano_000,85000,https://www.immobiliare.it/annunci/82736177/
bruzzano_000,120000,https://www.immobiliare.it/annunci/81292047/
bruzzano_000,139000,https://www.immobiliare.it/annunci/84486300/
bruzzano_000,139000,https://www.immobiliare.it/annunci/82553898/
bruzzano_000,134000,https://www.immobiliare.it/annunci/78957881/
bruzzano_001,110000,https://www.immobiliare.it/annunci/81014667/
bruzzano_001,95000,https://www.immobiliare.it/annunci/84628404/
bruzzano_100,298000,https://www.immobiliare.it/annunci/79786629/
bruzzano_101,290000,https://www.immobiliare.it/annunci/84613894/
affori_000,109000,https://www.immobiliare.it/annunci/80684359/
affori_000,120000,https://www.immobiliare.it/annunci/83455759/
affori_000,85000,https://www.immobiliare.it/annunci/76367794/
affori_000,168000,https://www.immobiliare.it/annunci/83313615/
affori_000,150000,https://www.immobiliare.it/annunci/84202242/
affori_000,159000,https://www.immobiliare.it/annunci/84246924/
affori_000,100000,https://www.immobiliare.it/annunci/84364304/
affori_000,150000,https://www.immobiliare.it/annunci/84743222/
affori_000,105000,https://www.immobiliare.it/annunci/78840541/
affori_000,145000,https://www.immobiliare.it/annunci/80427783/
affori_000,89000,https://www.immobiliare.it/annunci/80265217/
affori_000,160000,https://www.immobiliare.it/annunci/79525719/
affori_000,135000,https://www.immobiliare.it/annunci/83049619/
affori_000,159000,https://www.immobiliare.it/annunci/82712497/
affori_000,139000,https://www.immobiliare.it/annunci/84411226/
affori_000,125000,https://www.immobiliare.it/annunci/81298297/
affori_000,135000,https://www.immobiliare.it/annunci/79516587/
